OrderID,ThreadName,Timestamp
1005,TG1 - Shopping Journey (Place Orders) 1-1,2026-03-19 07:42:34
1006,TG1 - Shopping Journey (Place Orders) 1-2,2026-03-19 07:42:37
1007,TG1 - Shopping Journey (Place Orders) 1-3,2026-03-19 07:42:39
1008,TG1 - Shopping Journey (Place Orders) 1-4,2026-03-19 07:42:43
1009,TG1 - Shopping Journey (Place Orders) 1-5,2026-03-19 07:42:46
1005,TG1 - Shopping Journey (Place Orders) 1-1,2026-03-19 07:43:25
1007,TG1 - Shopping Journey (Place Orders) 1-3,2026-03-19 07:43:27
1006,TG1 - Shopping Journey (Place Orders) 1-2,2026-03-19 07:43:27
1008,TG1 - Shopping Journey (Place Orders) 1-4,2026-03-19 07:43:32
1009,TG1 - Shopping Journey (Place Orders) 1-5,2026-03-19 07:43:33
1005,TG1 - Shopping Journey (Place Orders) 1-1,2026-03-19 07:44:13
1006,TG1 - Shopping Journey (Place Orders) 1-2,2026-03-19 07:44:15
1007,TG1 - Shopping Journey (Place Orders) 1-3,2026-03-19 07:44:18
1008,TG1 - Shopping Journey (Place Orders) 1-4,2026-03-19 07:44:22
1009,TG1 - Shopping Journey (Place Orders) 1-5,2026-03-19 07:44:24
1005,TG1 - Shopping Journey (Place Orders) 1-1,2026-03-19 07:45:03
1006,TG1 - Shopping Journey (Place Orders) 1-2,2026-03-19 07:45:06
1007,TG1 - Shopping Journey (Place Orders) 1-3,2026-03-19 07:45:10
1008,TG1 - Shopping Journey (Place Orders) 1-4,2026-03-19 07:45:10
1009,TG1 - Shopping Journey (Place Orders) 1-5,2026-03-19 07:45:11
1005,TG1 - Shopping Journey (Place Orders) 1-1,2026-03-19 07:45:54
1006,TG1 - Shopping Journey (Place Orders) 1-2,2026-03-19 07:45:56
1007,TG1 - Shopping Journey (Place Orders) 1-3,2026-03-19 07:45:59
1008,TG1 - Shopping Journey (Place Orders) 1-4,2026-03-19 07:46:00
1009,TG1 - Shopping Journey (Place Orders) 1-5,2026-03-19 07:46:00
1005,TG1 - Shopping Journey (Place Orders) 1-1,2026-03-19 07:46:44
1006,TG1 - Shopping Journey (Place Orders) 1-2,2026-03-19 07:46:45
1008,TG1 - Shopping Journey (Place Orders) 1-4,2026-03-19 07:46:46
1009,TG1 - Shopping Journey (Place Orders) 1-5,2026-03-19 07:46:48
1007,TG1 - Shopping Journey (Place Orders) 1-3,2026-03-19 07:46:48
